,Дата,Менеджер,Звонков совершено,Звонков успешных,Средняя длительность звонка,"Время на линии за день, минут",Количество активных сделок,Количество сделок без задач,Количество просроченных задач,Сделок создано,Встреч назначено,"Кол-во компаний, перешедших на сл этап сделки",Подписано NDA,Подписано договоров,Звонков всего,Разговор состоялся,Говорили с секретарем,Обход секретаря совершён,Секретарь перевел звонок,Контакт получен,Говорили с ЛПР,ЛПР заинтересован,Встреча назначена,Договорились подписать НДА,Договорились подписать Договор,договорились показать кандидатов,кол-во выявл потребн (чел),Нас отправили на почту (КП)
0,2021-12-08,daaa308c,52,31,1:15,,,,,12,1,3,0,0,52,24,15,8,,11,14,,1,3,4,,,6
1,2021-12-08,8070911f,29,22,1:11,,,,,12,0,0,0,0,29,13,13,,,,8,,1,,,,,5
2,2021-12-08,dce5a5e0,44,32,2:04,,,,,27,1,4,0,0,44,24,13,3,,9,5,,3,1,1,,,8
3,2021-12-09,daaa308c,51,32,1:20,,,,,13,1,1,0,0,51,28,19,6,,7,8,,1,3,1,,0,0
4,2021-12-09,8070911f,24,17,1:36,,,,,11,1,0,0,0,24,13,13,1,,0,5,,1,0,0,,2,8
5,2021-12-09,dce5a5e0,51,36,2:04,,,,,34,0,8,0,0,51,25,20,4,,9,12,,0,0,0,,0,14
6,2021-12-10,daaa308c,36,20,,,,,,1,,0,0,0,36,20,14,2,,1,2,,0,1,1,,0,6
7,2021-12-10,8070911f,34,16,,,,,,0,,0,0,0,34,16,16,2,,1,8,,0,0,0,,0,8
8,2021-12-10,dce5a5e0,45,24,,,,,,27,0,2,0,0,45,24,19,0,,1,3,,0,0,0,,0,11
9,2021-12-13,daaa308c,36,22,,,,,,1,,3,0,0,36,22,15,4,,3,6,,0,0,0,,0,6
10,2021-12-13,8070911f,30,19,,,,,,8,0,0,0,0,30,19,17,2,,2,8,,0,0,0,,0,9
11,2021-12-13,dce5a5e0,30,20,,,,,,22,0,6,0,0,30,20,17,1,,10,5,,0,0,0,,0,8
12,2021-12-14,daaa308c,35,19,,,,,,1,0,0,0,0,35,19,8,4,,3,4,,0,0,1,,0,5
13,2021-12-14,8070911f,35,23,,,,,,11,0,0,0,0,35,23,22,3,,7,8,,0,0,0,,0,15
14,2021-12-14,dce5a5e0,20,13,,,,,,16,0,3,0,1,20,13,13,2,,12,4,,0,0,0,,0,8
15,2021-12-15,daaa308c,38,13,,,,,,0,1,3,0,1,38,13,10,5,,2,1,,1,0,0,,0,3
16,2021-12-15,8070911f,13,16,,,,,,2,0,0,0,0,31,16,14,5,,3,4,,0,0,0,,0,3
17,2021-12-15,dce5a5e0,13,8,,,,,,6,1,2,0,0,13,8,1,1,,1,6,,2,0,0,,4,0
18,2021-12-16,daaa308c,40,24,,,,,,?,1,6,0,0,40,24,16,6,,3,3,,0,0,0,,0,5
19,2021-12-16,8070911f,30,17,,,,,,?,0,2,0,0,30,17,11,1,,1,11,,0,0,0,,0,5
20,2021-12-16,dce5a5e0,35,19,,,,,,?,1,2,0,0,35,19,15,2,,14,6,,0,2,0,,1,8
21,2021-12-17,daaa308c,40,20,,,,,,?,1,3,0,0,40,20,16,2,,2,1,,3,0,1,,2,6
22,2021-12-17,8070911f,36,17,,,,,,?,0,0,0,0,36,17,6,2,,1,8,,0,0,0,,0,5
23,2021-12-17,dce5a5e0,24,20,,,,,,?,2,4,0,0,24,20,10,2,,6,4,,2,1,0,,12,5
24,2021-12-20,daaa308c,52,36,2:14,,,,,17,1,2,0,0,52,30,23,8,,4,4,2,1,1,0,0,0,8
25,2021-12-20,8070911f,44,33,1:07,,,,,37,1,0,0,0,44,27,26,0,,0,19,,1,0,0,0,0,17
26,2021-12-20,dce5a5e0,54,39,2:03,,,,,35,1,1,0,0,54,35,27,2,,15,4,8,1,1,0,1,6,13
27,2021-12-21,daaa308c,41,29,1:29,,,,,7,3,4,0,0,,19,19,19,,3,2,1,3,0,0,3,3,3
28,2021-12-21,8070911f,74,29,1:21,,,,,27,0,0,0,0,,21,21,0,,1,9,0,0,0,0,0,0,10
29,2021-12-21,dce5a5e0,33,27,2:24,,,,,21,0,1,0,0,,15,10,3,,7,2,1,0,2,2,3,2,5
30,2021-12-22,daaa308c,40,32,1:22,,,,,4,3,0,0,0,40,26,21,7,,0,0,0,0,1,1,0,3,4
31,2021-12-22,8070911f,77,31,1:24,,,,,0,0,0,0,0,,24,23,1,,4,13,0,0,0,0,0,0,5
32,2021-12-22,dce5a5e0,56,36,2:48,98,,,,13,1,3,0,0,50,29,25,7,,18,10,0,3,2,1,0,1,11
33,2021-12-23,daaa308c,62,30,1:50,,,,,3,1,4,0,0,40,22,17,3,,3,2,1,1,0,0,1,2,1
34,2021-12-23,8070911f,86,44,1:26,61,,,,20,0,0,0,0,86,28,28,2,,1,10,0,0,0,0,0,0,9
35,2021-12-23,dce5a5e0,41,36,2:46,91,,,,4,1,5,1,0,41,28,23,1,,11,10,5,0,1,1,1,11,9
36,2021-12-24,daaa308c,103,60,1:47,106,,,,1,1,4,0,0,103,56,33,1,,3,1,0,3,0,0,0,0,4
37,2021-12-24,8070911f,64,40,1:35,69,,,,14,0,0,0,0,64,32,28,1,,1,10,0,0,0,0,0,0,6
